"ONTOLOGY"	"ID"	"Description"	"setSize"	"enrichmentScore"	"NES"	"pvalue"	"p.adjust"	"qvalue"	"rank"	"leading_edge"	"core_enrichment"
"BP"	"GO:0006119"	"oxidative phosphorylation"	18	-0.801653721392941	-2.27893570758667	7.86832815039761e-07	7.86832815039761e-07	0.00170824349997685	136	"tags=72%, list=13%, signal=64%"	"ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"MF"	"GO:0015399"	"primary active transmembrane transporter activity"	31	-0.690494693494427	-2.24606680945118	8.56329498215446e-07	8.56329498215446e-07	0.00170824349997685	169	"tags=58%, list=16%, signal=50%"	"ENSG00000155097/ENSG00000167972/ENSG00000157087/ENSG00000212907/ENSG00000114573/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000107331/ENSG00000198886/ENSG00000110955/ENSG00000017260/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"CC"	"GO:0098798"	"mitochondrial protein-containing complex"	19	-0.776579067263389	-2.24620033308401	1.89256948654511e-06	1.89256948654511e-06	0.00170824349997685	136	"tags=68%, list=13%, signal=61%"	"ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"BP"	"GO:0042773"	"ATP synthesis coupled electron transport"	15	-0.81264560156481	-2.19030559145954	1.92096803909766e-06	1.92096803909766e-06	0.00170824349997685	136	"tags=73%, list=13%, signal=65%"	"ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198886/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"BP"	"GO:0042775"	"mitochondrial ATP synthesis coupled electron transport"	15	-0.81264560156481	-2.19030559145954	1.92096803909766e-06	1.92096803909766e-06	0.00170824349997685	136	"tags=73%, list=13%, signal=65%"	"ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198886/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"BP"	"GO:0015980"	"energy derivation by oxidation of organic compounds"	31	-0.678994348017225	-2.20865805813573	2.07346421419677e-06	2.07346421419677e-06	0.00170824349997685	159	"tags=55%, list=15%, signal=48%"	"ENSG00000178209/ENSG00000291237/ENSG00000212907/ENSG00000087250/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000169764/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"BP"	"GO:0009060"	"aerobic respiration"	19	-0.771862756240645	-2.23255873516205	2.55564927764553e-06	2.55564927764553e-06	0.00172082646981659	136	"tags=68%, list=13%, signal=61%"	"ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"CC"	"GO:0098800"	"inner mitochondrial membrane protein complex"	18	-0.78056971921301	-2.21899825062185	2.78498321350214e-06	2.78498321350214e-06	0.00172082646981659	136	"tags=72%, list=13%, signal=64%"	"ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198899/ENSG00000198886/ENSG00000110955/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"CC"	"GO:0005746"	"mitochondrial respirasome"	14	-0.817845015083707	-2.17353116150236	6.57618098011529e-06	6.57618098011529e-06	0.00261754620198824	136	"tags=79%, list=13%, signal=69%"	"ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198886/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
"BP"	"GO:0019646"	"aerobic electron transport chain"	14	-0.817845015083707	-2.17353116150236	6.57618098011529e-06	6.57618098011529e-06	0.00261754620198824	136	"tags=79%, list=13%, signal=69%"	"ENSG00000212907/ENSG00000198763/ENSG00000198888/ENSG00000198786/ENSG00000198727/ENSG00000198886/ENSG00000198695/ENSG00000198938/ENSG00000198804/ENSG00000198712/ENSG00000198840"
